param_name, val, min, max
a1_0, 4.584982656184167e+01, 4.584982656184167e+00, 4.584982656184167e+02
a1_1, 2.393541665657613e-02, 2.393541665657613e-03, 2.393541665657613e-01
b1_0, 1.440952344322651e-02, 1.440952344322651e-03, 1.440952344322651e-01
b1_1, 8.847609128769419e-02, 8.847609128769419e-03, 8.847609128769419e-01
a2_0, 1.980838207143563e+01, 1.980838207143563e+00, 1.980838207143563e+02
a2_1, 2.217709530008501e-02, 2.217709530008501e-03, 2.217709530008501e-01
b2_0, 5.650174488683913e-01, 5.650174488683913e-02, 5.650174488683913e-00
b2_1, 6.108403283302217e-02, 6.108403283302217e-03, 6.108403283302217e-01
a3_0, 7.181189201089192e+01, 7.181189201089192e+00, 7.181189201089192e+02
a3_1, 6.593790601261940e-02, 6.593790601261940e-03, 6.593790601261940e-01
b3_0, 7.531178253431512e-01, 7.531178253431512e-02, 7.531178253431512e-00
b3_1, 3.647978133116471e-02, 3.647978133116471e-03, 3.647978133116471e-01
bh_0, 2.830146966213825e+00, 2.830146966213825e-01, 2.830146966213825e+01
bh_1, 2.890045633775495e-01, 2.890045633775495e-02, 2.890045633775495e-00
bh_2, 6.960300544163878e-02, 6.960300544163878e-03, 6.960300544163878e-01
ah_0, 5.757824421450554e-01, 5.757824421450554e-02, 5.757824421450554e-00
ah_1, 1.628407420157048e+02, 1.628407420157048e+01, 1.628407420157048e+03
ah_2, 2.680107016756367e-02, 2.680107016756367e-03, 2.680107016756367e-01
vShift, 10, 0, 20
vShift_inact, 10, 0, 20 
