param_name, val, min, max
a1_0,45.8498,45.8452,45.8503
a1_1,0.0239,0.0239,0.0239
b1_0,0.0144,0.0144,0.0144
b1_1,0.0885,0.0885,0.0885
a2_0,19.8084,19.8064,19.8086
a2_1,0.0222,0.0222,0.0222
b2_0,0.5650,0.5650,0.5650
b2_1,0.0611,0.0611,0.0611
a3_0,71.8119,71.8047,71.8126
a3_1,0.0659,0.0659,0.0659
b3_0,0.7531,0.7530,0.7531
b3_1,0.0365,0.0365,0.0365
bh_0,2.8301,2.8299,2.8301
bh_1,0.2890,0.2890,0.2890
bh_2,0.0696,0.0696,0.0696
ah_0,0.5758,0.5757,0.5758
ah_1,163.0000,162.9837,163.0016
ah_2,0.0268,0.0268,0.0268
vShift,10,9.999,10.0001
vShift_inact,10,9.999,10.0001
maxrate,8000,7999.2,8000.08
ahfactor,1,0.9999,1.00001
bhfactor,1,0.9999,1.00001
